Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",599.71,CHECK_DEPOSIT,63060.95,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",847.93,CHECK_DEPOSIT,62461.24,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",904.81,CHECK_DEPOSIT,61613.31,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",1161.38,CHECK_DEPOSIT,60708.50,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",2126.41,CHECK_DEPOSIT,59547.12,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",5086.81,CHECK_DEPOSIT,57420.71,1,
DSLIP,12/16/2024,"REMOTE ONLINE DEPOSIT #          1",6531.37,CHECK_DEPOSIT,52333.90,1,
DEBIT,12/13/2024,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:241212 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001037808302 EED:241213   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 3487808302TC",-4.40,ACH_DEBIT,45802.53,,
CREDIT,12/13/2024,"ORIG CO NAME:HPHC INSURANCE         ORIG ID:2043149694 DESC DATE:241211 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000016830866 EED:241213   IND ID:                             IND NAME:BOODAH INC                 TRN*1*3007452321*1043149694*HPHC\ TRN: 3486830866TC",26.41,ACH_CREDIT,45806.93,,
CREDIT,12/13/2024,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:241210 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000016900378 EED:241213   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896154786*1351840597~                                                       MEDICARE B OF NE TRN: 3486900378TC",62.03,ACH_CREDIT,45780.52,,
CREDIT,12/13/2024,"ORIG CO NAME:PAY PLUS               ORIG ID:6452579291 DESC DATE:241213 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:101000695375487 EED:241213   IND ID:825169916                    IND NAME:COLLEEN LONG GALLACCHI     TRN*1*590049230*1042734278\                                                       PPSACCOUNT TRN: 3485375487TC",88.93,ACH_CREDIT,45718.49,,
CREDIT,12/13/2024,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384875958070 EED:241213   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*24345B1000015132*1411289245*0 00087726\ TRN: 3485958070TC",122.09,ACH_CREDIT,45629.56,,
CREDIT,12/13/2024,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384875958064 EED:241213   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*24345B1000017666*1411289245*0 00087726\ TRN: 3485958064TC",143.53,ACH_CREDIT,45507.47,,
CREDIT,12/13/2024,"ORIG CO NAME:AETNA AS01             ORIG ID:1066033492 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000017592860 EED:241213   IND ID:1104390525                   IND NAME:BOODAH INC                 TRN*1*824345000183119*1066033492\ TRN: 3487592860TC",167.17,ACH_CREDIT,45363.94,,
CREDIT,12/13/2024,"ORIG CO NAME:WELLPOINT 05C          ORIG ID:0365BA293A DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000027773468 EED:241213   IND ID:3258698235                   IND NAME:BOODAH  INC                TRN*1*3258698235*1520913817\                                                      EDI PAYMENT TRN: 3487773468TC",254.90,ACH_CREDIT,45196.77,,
CREDIT,12/13/2024,"ORIG CO NAME:INTUIT                 ORIG ID:4462800242 DESC DATE:241213 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000025024315 EED:241213   IND ID:                             IND NAME:BOODAH INC- BOSTON PSY TRN: 3485024315TC",486.05,ACH_CREDIT,44941.87,,
CREDIT,12/13/2024,"ORIG CO NAME:INTUIT                 ORIG ID:4462800242 DESC DATE:241213 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000025024295 EED:241213   IND ID:                             IND NAME:BOODAH INC- BOSTON PSY TRN: 3485024295TC",486.05,ACH_CREDIT,44455.82,,
CREDIT,12/13/2024,"ORIG CO NAME:INTUIT                 ORIG ID:4462800242 DESC DATE:241213 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000025024263 EED:241213   IND ID:                             IND NAME:BOODAH INC- BOSTON PSY TRN: 3485024263TC",486.05,ACH_CREDIT,43969.77,,
CREDIT,12/13/2024,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015107697 EED:241213   IND ID:ST-B1P0X4A1C7F9              IND NAME:BOODAH INC TRN: 3485107697TC",630.85,ACH_CREDIT,43483.72,,
CREDIT,12/13/2024,"ORIG CO NAME:TUFTS ASSOCIATED       ORIG ID:4800721489 DESC DATE:241210 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000027810571 EED:241213   IND ID:                             IND NAME:BOODAH INC                 TRN*1*71151326*1042674079\ TRN: 3487810571TC",1178.18,ACH_CREDIT,42852.87,,
CREDIT,12/13/2024,"ORIG CO NAME:HPHC EFT CLEARI        ORIG ID:8042452600 DESC DATE:241211 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000016830851 EED:241213   IND ID:                             IND NAME:BOODAH INC                 TRN*1*502363114*1042452600*HPHC\ TRN: 3486830851TC",3243.49,ACH_CREDIT,41674.69,,
DEBIT,12/12/2024,"Zelle payment to heena kim 23028827021",-2380.23,QUICKPAY_DEBIT,38431.20,,
DEBIT,12/12/2024,"ORIG CO NAME:PAYROLL                ORIG ID:1943345425 DESC DATE:241212 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024091295 EED:241212   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3474091295TC",-220.46,ACH_DEBIT,40811.43,,
DEBIT,12/12/2024,"ORIG CO NAME:PAY PLUS               ORIG ID:5452579291 DESC DATE:241211 CO ENTRY DESCR:ACHTrans  SEC:CCD    TRACE#:101000694402544 EED:241212   IND ID:47307668                     IND NAME:Default debit account      FeeTransfer REF#47307668                                                          PPSACCOUNT TRN: 3474402544TC",-0.21,ACH_DEBIT,41031.89,,
DEBIT,12/12/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241212 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000024151332 EED:241212   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3474151332TC",-835.18,ACH_DEBIT,41032.10,,
CREDIT,12/12/2024,"ORIG CO NAME:HUMANA GOVT BUSI       ORIG ID:2610647538 DESC DATE:121024 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000024775728 EED:241212   IND ID:2238171532                   IND NAME:BOODAH INC                 TRN*1*2238171532*1611241225*WPSEAST   \ TRN: 3474775728TC",59.35,ACH_CREDIT,41867.28,,
CREDIT,12/12/2024,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:241209 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000014768088 EED:241212   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896150128*1351840597~                                                       MEDICARE B OF NE TRN: 3474768088TC",138.05,ACH_CREDIT,41807.93,,
CREDIT,12/12/2024,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384876321946 EED:241212   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*24342B1000015929*1411289245*0 00087726\ TRN: 3476321946TC",140.28,ACH_CREDIT,41669.88,,
CREDIT,12/12/2024,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014419984 EED:241212   IND ID:ST-T0Y2I2H2O4Z7              IND NAME:BOODAH INC TRN: 3474419984TC",242.45,ACH_CREDIT,41529.60,,
CREDIT,12/12/2024,"ORIG CO NAME:AETNA A04              ORIG ID:1066033492 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:031100204743522 EED:241212   IND ID:1104390525                   IND NAME:BOODAH INC                 TRN*1*824344000191663*1066033492\ TRN: 3474743522TC",379.34,ACH_CREDIT,41287.15,,
CREDIT,12/12/2024,"ORIG CO NAME:UNITEDHEALTHCARE       ORIG ID:1411289245 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384876325158 EED:241212   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*W306800013*1411289245*0000877 26\ TRN: 3476325158TC",1208.99,ACH_CREDIT,40907.81,,
CREDIT,12/12/2024,"ORIG CO NAME:Carelon Behav Z        ORIG ID:2043324848 DESC DATE:241211 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500125053380 EED:241212   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8035848*1043324848\ TRN: 3475053380TC",1395.47,ACH_CREDIT,39698.82,,
DEBIT,12/11/2024,"ORIG CO NAME:PAY PLUS               ORIG ID:5452579291 DESC DATE:241210 CO ENTRY DESCR:ACHTrans  SEC:CCD    TRACE#:101000696213435 EED:241211   IND ID:47236888                     IND NAME:Default debit account      FeeTransfer REF#47236888                                                          PPSACCOUNT TRN: 3466213435TC",-3.67,ACH_DEBIT,38303.35,,
DEBIT,12/11/2024,"ORIG CO NAME:IRS                    ORIG ID:3387702000 DESC DATE:121124 CO ENTRY DESCR:USATAXPYMTSEC:CCD    TRACE#:061036019764088 EED:241211   IND ID:227474666034602              IND NAME:BOODAH INC TRN: 3469764088TC",-7982.72,ACH_DEBIT,38307.02,,
CREDIT,12/11/2024,"ORIG CO NAME:PAY PLUS               ORIG ID:6452579291 DESC DATE:241211 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:101000696212292 EED:241211   IND ID:825169916                    IND NAME:COLLEEN LONG GALLACCHI     TRN*1*588743131*1271502067\                                                       PPSACCOUNT TRN: 3466212292TC",11.06,ACH_CREDIT,46289.74,,
CREDIT,12/11/2024,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:241210 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001036388626 EED:241211   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 3466388626TC",197.17,ACH_CREDIT,46278.68,,
CREDIT,12/11/2024,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016669971 EED:241211   IND ID:ST-X5E1O6T0D7X2              IND NAME:BOODAH INC TRN: 3466669971TC",240.34,ACH_CREDIT,46081.51,,
CREDIT,12/11/2024,"ORIG CO NAME:CIGNA                  ORIG ID:9751677627 DESC DATE:120724 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000013477127 EED:241211   IND ID:825169916                    IND NAME:/BOODAH INC                TRN*1*241207090070022*1591031071\ TRN: 3463477127TC",893.90,ACH_CREDIT,45841.17,,
CREDIT,12/11/2024,"ORIG CO NAME:BCBS OF MASS           ORIG ID:1041045815 DESC DATE:120624 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000013475436 EED:241211   IND ID:741113050                    IND NAME:70020000LMG471             TRN*1*741113050*1041045815\ TRN: 3463475436TC",1412.52,ACH_CREDIT,44947.27,,
CREDIT,12/11/2024,"ORIG CO NAME:BCBS OF MASS           ORIG ID:1041045815 DESC DATE:120624 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000013475442 EED:241211   IND ID:741129418                    IND NAME:70020000LMG471             TRN*1*741129418*1041045815\ TRN: 3463475442TC",5590.41,ACH_CREDIT,43534.75,,
DEBIT,12/10/2024,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:241209 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001035467030 EED:241210   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 3455467030TC",-6.02,ACH_DEBIT,37944.34,,
DEBIT,12/10/2024,"ORIG CO NAME:PAYROLL                ORIG ID:1943345425 DESC DATE:241210 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024358995 EED:241210   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3454358995TC",-183.36,ACH_DEBIT,37950.36,,
DEBIT,12/10/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241210 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000020587554 EED:241210   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3450587554TC",-948.06,ACH_DEBIT,38133.72,,
CREDIT,12/10/2024,"ORIG CO NAME:PAY PLUS               ORIG ID:6452579291 DESC DATE:241210 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:101000691409191 EED:241210   IND ID:825169916                    IND NAME:COLLEEN LONG GALLACCHI     TRN*1*587831774*1042734278\                                                       PPSACCOUNT TRN: 3451409191TC",193.31,ACH_CREDIT,39081.78,,
CREDIT,12/10/2024,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:241205 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000013816338 EED:241210   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896140230*1351840597~                                                       MEDICARE B OF NE TRN: 3453816338TC",200.08,ACH_CREDIT,38888.47,,
CREDIT,12/10/2024,"ORIG CO NAME:Carelon Behav Z        ORIG ID:3043324848 DESC DATE:241206 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500123802855 EED:241210   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8031335*1043324848\ TRN: 3453802855TC",1843.05,ACH_CREDIT,38688.39,,
DSLIP,12/10/2024,"REMOTE ONLINE DEPOSIT #          1",75.93,CHECK_DEPOSIT,36845.34,1,
DSLIP,12/10/2024,"REMOTE ONLINE DEPOSIT #          1",188.31,CHECK_DEPOSIT,36769.41,1,
DSLIP,12/10/2024,"REMOTE ONLINE DEPOSIT #          1",203.06,CHECK_DEPOSIT,36581.10,1,
DEBIT,12/09/2024,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:241206 CO ENTRY DESCR:FEE       SEC:CCD    TRACE#:041001039380311 EED:241209   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 3449380311TC",-10.00,ACH_DEBIT,36378.04,,
DEBIT,12/09/2024,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:241206 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001039380307 EED:241209   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 3449380307TC",-23.76,ACH_DEBIT,36388.04,,
DEBIT,12/09/2024,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:241206 CO ENTRY DESCR:CHARGEBACKSEC:CCD    TRACE#:041001039380309 EED:241209   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 3449380309TC",-250.00,ACH_DEBIT,36411.80,,
DEBIT,12/09/2024,"Zelle payment to Lauren Powell JPM99asmtihw",-2000.00,CHASE_TO_PARTNERFI,36661.80,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:241206 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000019578257 EED:241209   IND ID:MCDONALDS 27923              IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 3449578257TC",-44.65,MISC_DEBIT,38661.80,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389480 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389480TC",-162.00,ACH_DEBIT,38706.45,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389478 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389478TC",-195.40,ACH_DEBIT,38868.45,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388714 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388714TC",-254.05,ACH_DEBIT,39063.85,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389477 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389477TC",-278.00,ACH_DEBIT,39317.90,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389475 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389475TC",-353.40,ACH_DEBIT,39595.90,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388718 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388718TC",-383.92,ACH_DEBIT,39949.30,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391229 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391229TC",-486.05,ACH_DEBIT,40333.22,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391226 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391226TC",-486.05,ACH_DEBIT,40819.27,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391224 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391224TC",-486.05,ACH_DEBIT,41305.32,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388712 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388712TC",-486.30,ACH_DEBIT,41791.37,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391223 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391223TC",-532.13,ACH_DEBIT,42277.67,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389481 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389481TC",-559.67,ACH_DEBIT,42809.80,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46289701        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391682 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391682TC",-561.06,ACH_DEBIT,43369.47,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389479 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389479TC",-623.00,ACH_DEBIT,43930.53,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46288979        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029390334 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449390334TC",-689.61,ACH_DEBIT,44553.53,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391225 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391225TC",-1143.73,ACH_DEBIT,45243.14,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391228 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391228TC",-1169.44,ACH_DEBIT,46386.87,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391227 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391227TC",-1169.44,ACH_DEBIT,47556.31,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388721 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388721TC",-1181.63,ACH_DEBIT,48725.75,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46218168        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029391222 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449391222TC",-1241.65,ACH_DEBIT,49907.38,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388719 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388719TC",-1315.23,ACH_DEBIT,51149.03,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46289020        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029390995 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449390995TC",-1378.41,ACH_DEBIT,52464.26,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388713 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388713TC",-1432.60,ACH_DEBIT,53842.67,,
DEBIT,12/09/2024,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029389476 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC TRN: 3449389476TC",-1438.19,ACH_DEBIT,55275.27,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388716 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388716TC",-1454.06,ACH_DEBIT,56713.46,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388720 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388720TC",-1663.12,ACH_DEBIT,58167.52,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388711 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388711TC",-1759.00,ACH_DEBIT,59830.64,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46289664        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029390126 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449390126TC",-1914.95,ACH_DEBIT,61589.64,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388715 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388715TC",-1970.47,ACH_DEBIT,63504.59,,
DEBIT,12/09/2024,"ORIG CO NAME:THE HARTFORD           ORIG ID:9942902727 DESC DATE:       CO ENTRY DESCR:INSPMTCL  SEC:CCD    TRACE#:051000019424561 EED:241209   IND ID:15801127                     IND NAME:BOODAH INC                                                                                                   NWTBS CL SCIC ACH C TRN: 3449424561TC",-2163.68,ACH_DEBIT,65475.06,,
DEBIT,12/09/2024,"ORIG CO NAME:INTUIT 46209825        ORIG ID:4462800242 DESC DATE:241209 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029388717 EED:241209   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 3449388717TC",-4199.19,ACH_DEBIT,67638.74,,
CREDIT,12/09/2024,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:241206 CO ENTRY DESCR:INSTFUNDINSEC:CCD    TRACE#:041001039763689 EED:241209   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 3449763689TC",65.00,ACH_CREDIT,71837.93,,
CREDIT,12/09/2024,"ORIG CO NAME:UNITED BEHAVIORA       ORIG ID:1805600001 DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:124384873069593 EED:241209   IND ID:825169916                    IND NAME:Boodah Inc                 TRN*1*24339B1000009963*1411289245*0 00087726\ TRN: 3443069593TC",122.09,ACH_CREDIT,71772.93,,
CREDIT,12/09/2024,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014666229 EED:241209   IND ID:ST-D7N4B2Q4I4H3              IND NAME:BOODAH INC TRN: 3444666229TC",145.35,ACH_CREDIT,71650.84,,
